claim_id,claim_date,claim_year,claim_month,region,claim_type,severity,claim_status,policy_id,customer_id,broker_id,claim_amount,claim_month_name,claim_quarter,cost_band,high_cost_flag
CLM000001,2024-01-13,2024,2024-01,West,Auto,Low,Closed,POL00559,CUST0045,BR038,2231.02,Jan,Q1,Low,0
CLM000002,2025-01-16,2025,2025-01,North,Auto,Medium,Closed,POL00559,CUST0215,BR015,2905.92,Jan,Q1,Low,0
CLM000003,2025-05-23,2025,2025-05,West,Auto,Medium,Closed,POL00160,CUST0111,BR049,4782.56,May,Q2,Medium,1
CLM000004,2025-02-17,2025,2025-02,South,Auto,Low,Closed,POL00471,CUST0275,BR008,4210.08,Feb,Q1,Medium,0
CLM000005,2024-07-12,2024,2024-07,North,Auto,Medium,Open,POL00371,CUST0296,BR013,2303.29,Jul,Q3,Low,0
CLM000006,2024-01-24,2024,2024-01,West,Property,High,Open,POL00104,CUST0195,BR018,9190.17,Jan,Q1,High,1
CLM000007,2025-07-06,2025,2025-07,North,Auto,Medium,Closed,POL00074,CUST0312,BR041,5300.84,Jul,Q3,Medium,1
CLM000008,2025-05-06,2025,2025-05,North,Auto,High,Closed,POL00333,CUST0394,BR050,7580.64,May,Q2,High,1
CLM000009,2025-01-17,2025,2025-01,West,Health,Low,Closed,POL00323,CUST0109,BR042,1397.44,Jan,Q1,Low,0
CLM000010,2025-11-26,2025,2025-11,East,Auto,Low,Closed,POL00599,CUST0220,BR038,2102.06,Nov,Q4,Low,0
CLM000011,2025-04-23,2025,2025-04,Central,Auto,Low,Open,POL00157,CUST0322,BR011,1400.4,Apr,Q2,Low,0
CLM000012,2024-08-04,2024,2024-08,East,Health,Medium,Closed,POL00258,CUST0284,BR001,1452.79,Aug,Q3,Low,0
CLM000013,2024-02-28,2024,2024-02,West,Health,Low,Closed,POL00115,CUST0151,BR028,1469.31,Feb,Q1,Low,0
CLM000014,2025-01-02,2025,2025-01,Central,Property,Low,Closed,POL00109,CUST0321,BR020,1416.38,Jan,Q1,Low,0
CLM000015,2024-09-16,2024,2024-09,East,Auto,Medium,Closed,POL00544,CUST0001,BR039,1298.59,Sep,Q3,Low,0
CLM000016,2025-01-10,2025,2025-01,North,Auto,High,Closed,POL00247,CUST0291,BR006,4759.75,Jan,Q1,Medium,1
CLM000017,2025-09-06,2025,2025-09,West,Property,High,Closed,POL00541,CUST0311,BR028,8537.28,Sep,Q3,High,1
CLM000018,2024-10-03,2024,2024-10,West,Property,Medium,Closed,POL00688,CUST0333,BR024,5860.38,Oct,Q4,Medium,1
CLM000019,2025-09-22,2025,2025-09,West,Property,Medium,Closed,POL00647,CUST0031,BR015,4661.19,Sep,Q3,Medium,1
CLM000020,2025-01-17,2025,2025-01,Central,Auto,Low,Closed,POL00136,CUST0371,BR037,1004.66,Jan,Q1,Low,0
CLM000021,2025-05-05,2025,2025-05,West,Property,Medium,Closed,POL00056,CUST0345,BR042,10697.99,May,Q2,Extreme,1
CLM000022,2024-02-20,2024,2024-02,North,Property,Medium,Closed,POL00197,CUST0098,BR035,3880.88,Feb,Q1,Medium,0
CLM000023,2025-08-05,2025,2025-08,North,Property,High,Closed,POL00668,CUST0277,BR001,9968.44,Aug,Q3,High,1
CLM000024,2024-05-01,2024,2024-05,North,Health,Low,Closed,POL00061,CUST0085,BR025,655.93,May,Q2,Very Low,0
CLM000025,2025-07-19,2025,2025-07,South,Property,Low,Pending,POL00570,CUST0339,BR046,3430.41,Jul,Q3,Medium,0
CLM000026,2025-04-08,2025,2025-04,South,Property,Medium,Open,POL00059,CUST0026,BR038,7191.23,Apr,Q2,High,1
CLM000027,2025-09-29,2025,2025-09,North,Property,Low,Closed,POL00692,CUST0121,BR026,2054.97,Sep,Q3,Low,0
CLM000028,2025-10-19,2025,2025-10,South,Health,Medium,Closed,POL00536,CUST0162,BR017,3381.22,Oct,Q4,Medium,0
CLM000029,2025-06-10,2025,2025-06,South,Health,Medium,Closed,POL00075,CUST0005,BR030,2402.52,Jun,Q2,Low,0
CLM000030,2024-10-15,2024,2024-10,Central,Auto,Low,Closed,POL00358,CUST0036,BR016,1218.98,Oct,Q4,Low,0
CLM000031,2025-03-22,2025,2025-03,South,Health,Low,Open,POL00542,CUST0005,BR043,1440.97,Mar,Q1,Low,0
CLM000032,2024-06-02,2024,2024-06,Central,Auto,High,Closed,POL00110,CUST0381,BR036,8175.01,Jun,Q2,High,1
CLM000033,2025-05-25,2025,2025-05,East,Property,Low,Closed,POL00501,CUST0129,BR004,2906.92,May,Q2,Low,0
CLM000034,2025-08-05,2025,2025-08,Central,Property,Low,Closed,POL00438,CUST0288,BR001,1910.85,Aug,Q3,Low,0
CLM000035,2025-12-20,2025,2025-12,Central,Health,Medium,Closed,POL00131,CUST0022,BR020,2635.75,Dec,Q4,Low,0
CLM000036,2025-01-21,2025,2025-01,North,Property,High,Closed,POL00636,CUST0384,BR010,6350.25,Jan,Q1,High,1
CLM000037,2024-05-01,2024,2024-05,Central,Property,Medium,Open,POL00026,CUST0092,BR048,4066.68,May,Q2,Medium,0
CLM000038,2024-07-29,2024,2024-07,West,Property,Medium,Closed,POL00111,CUST0196,BR003,2644.13,Jul,Q3,Low,0
CLM000039,2024-04-23,2024,2024-04,South,Property,Low,Open,POL00234,CUST0115,BR002,2137.2,Apr,Q2,Low,0
CLM000040,2024-07-23,2024,2024-07,South,Property,High,Closed,POL00657,CUST0261,BR026,11541.44,Jul,Q3,Extreme,1
CLM000041,2024-10-01,2024,2024-10,South,Auto,High,Closed,POL00595,CUST0136,BR003,8303.79,Oct,Q4,High,1
CLM000042,2025-08-11,2025,2025-08,South,Property,Low,Closed,POL00591,CUST0098,BR017,4407.0,Aug,Q3,Medium,0
CLM000043,2025-08-12,2025,2025-08,North,Property,Medium,Open,POL00687,CUST0101,BR024,4920.74,Aug,Q3,Medium,1
CLM000044,2025-12-07,2025,2025-12,East,Property,Medium,Closed,POL00335,CUST0207,BR045,4380.91,Dec,Q4,Medium,0
CLM000045,2025-03-07,2025,2025-03,South,Property,Low,Closed,POL00583,CUST0155,BR026,2473.74,Mar,Q1,Low,0
CLM000046,2025-01-01,2025,2025-01,South,Auto,Medium,Closed,POL00453,CUST0227,BR044,3200.48,Jan,Q1,Medium,0
CLM000047,2025-08-31,2025,2025-08,West,Property,Medium,Closed,POL00680,CUST0325,BR040,5451.31,Aug,Q3,Medium,1
CLM000048,2025-05-01,2025,2025-05,South,Property,Medium,Open,POL00075,CUST0234,BR027,10014.49,May,Q2,Extreme,1
CLM000049,2024-10-21,2024,2024-10,South,Property,Low,Closed,POL00672,CUST0353,BR001,3836.77,Oct,Q4,Medium,0
CLM000050,2024-02-24,2024,2024-02,West,Auto,Medium,Closed,POL00476,CUST0026,BR036,1686.02,Feb,Q1,Low,0
CLM000051,2025-03-04,2025,2025-03,East,Property,Medium,Closed,POL00454,CUST0314,BR047,5452.49,Mar,Q1,Medium,1
CLM000052,2024-08-06,2024,2024-08,West,Health,High,Open,POL00487,CUST0231,BR017,3735.96,Aug,Q3,Medium,0
CLM000053,2024-11-22,2024,2024-11,South,Property,Low,Closed,POL00451,CUST0040,BR046,2684.36,Nov,Q4,Low,0
CLM000054,2025-05-20,2025,2025-05,South,Property,Low,Closed,POL00425,CUST0209,BR022,5141.27,May,Q2,Medium,1
CLM000055,2025-08-01,2025,2025-08,North,Property,Low,Pending,POL00021,CUST0392,BR037,4410.37,Aug,Q3,Medium,0
CLM000056,2025-01-04,2025,2025-01,Central,Auto,Low,Open,POL00552,CUST0383,BR048,2281.66,Jan,Q1,Low,0
CLM000057,2025-11-05,2025,2025-11,Central,Health,Low,Closed,POL00685,CUST0348,BR026,884.02,Nov,Q4,Very Low,0
CLM000058,2024-08-27,2024,2024-08,Central,Property,Medium,Pending,POL00607,CUST0289,BR043,3392.27,Aug,Q3,Medium,0
CLM000059,2025-11-26,2025,2025-11,South,Property,Low,Closed,POL00466,CUST0168,BR022,4660.66,Nov,Q4,Medium,1
CLM000060,2024-07-13,2024,2024-07,South,Property,Low,Open,POL00482,CUST0010,BR048,4786.52,Jul,Q3,Medium,1
CLM000061,2025-06-29,2025,2025-06,South,Property,Low,Open,POL00637,CUST0079,BR016,3509.6,Jun,Q2,Medium,0
CLM000062,2025-12-09,2025,2025-12,North,Property,Low,Closed,POL00621,CUST0311,BR048,2880.98,Dec,Q4,Low,0
CLM000063,2024-03-24,2024,2024-03,Central,Auto,Low,Closed,POL00694,CUST0193,BR026,916.57,Mar,Q1,Very Low,0
CLM000064,2024-04-11,2024,2024-04,North,Property,Medium,Closed,POL00309,CUST0351,BR039,2763.26,Apr,Q2,Low,0
CLM000065,2024-10-16,2024,2024-10,West,Auto,Low,Closed,POL00519,CUST0332,BR022,2491.77,Oct,Q4,Low,0
CLM000066,2025-08-04,2025,2025-08,West,Auto,High,Open,POL00157,CUST0223,BR012,11644.37,Aug,Q3,Extreme,1
CLM000067,2024-11-29,2024,2024-11,South,Property,Medium,Closed,POL00447,CUST0375,BR038,5528.88,Nov,Q4,Medium,1
CLM000068,2025-05-06,2025,2025-05,West,Auto,High,Closed,POL00625,CUST0343,BR025,10292.09,May,Q2,Extreme,1
CLM000069,2025-09-11,2025,2025-09,Central,Auto,Low,Closed,POL00611,CUST0360,BR018,1869.23,Sep,Q3,Low,0
CLM000070,2025-09-22,2025,2025-09,Central,Auto,Medium,Open,POL00488,CUST0331,BR046,2190.19,Sep,Q3,Low,0
CLM000071,2025-01-09,2025,2025-01,North,Auto,Medium,Closed,POL00485,CUST0284,BR034,3461.25,Jan,Q1,Medium,0
CLM000072,2025-10-09,2025,2025-10,South,Property,Low,Closed,POL00198,CUST0162,BR008,7110.18,Oct,Q4,High,1
CLM000073,2024-12-19,2024,2024-12,South,Auto,Low,Open,POL00538,CUST0306,BR019,1999.77,Dec,Q4,Low,0
CLM000074,2024-04-09,2024,2024-04,South,Auto,Low,Closed,POL00130,CUST0141,BR003,3501.51,Apr,Q2,Medium,0
CLM000075,2024-10-10,2024,2024-10,South,Property,Medium,Open,POL00106,CUST0007,BR037,2266.59,Oct,Q4,Low,0
CLM000076,2025-09-03,2025,2025-09,East,Auto,Low,Closed,POL00067,CUST0206,BR032,2317.96,Sep,Q3,Low,0
CLM000077,2025-11-19,2025,2025-11,West,Auto,Medium,Closed,POL00255,CUST0061,BR036,3930.44,Nov,Q4,Medium,0
CLM000078,2024-11-06,2024,2024-11,East,Health,Medium,Closed,POL00454,CUST0153,BR038,1540.09,Nov,Q4,Low,0
